mes-de-seq,especie ,amostra,tag,total_no_reads_pool,OTU,no_reads_OTU,final_fate,family,genus ,first_species_BLAST,first_species_BOLD,species,seeds_found,notes,,
Nov-23,Antilophia galeata,132,A,23830,P01_A_06,12,0,Melastomataceae,Miconia,Henriettea glabra,,,,"acabei classificando como Miconia pq não tem Henreittea na region, confirma que não é Leandra",,
Nov-23,Antilophia galeata,132,A,23830,P01_A_07,2,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_01,16039,1,Rubiaceae,Psychotria,Psychotria mangenotii ,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_02,44,1,Euphorbiaceae,Alchornea,Alchornea glandulosa,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_03,44,1,Rubiaceae,Psychotria,Psychotria sp.,,,,Psychotria vellosiana,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_04,28,1,Rubiaceae,Psychotria,Psychotria sp.,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_05,10,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_06,18,0,Rubiaceae,Psychotria,Palicourea guianensis,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_07,11,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_08,3,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_09,5,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_10,2,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_11,6,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_12,8,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_13,4,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_14,4,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_15,4,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_16,4,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_17,4,0,,,,,,,,,
Nov-23,Antilophia galeata,113,B,23830,P01_B_18,2,0,,,,,,,,,
Nov-23,Antilophia galeata,297,C,23830,P01_C_01,32,1,Siparunaceae,Siparuna,Siparuna guianensis,,guianensis,,,,
Nov-23,Antilophia galeata,297,C,23830,P01_C_02,2,0,,,,,,,,,
Nov-23,Antilophia galeata,381,D,23830,P01_D_01,201,1,Rubiaceae,Psychotria,Palicourea guianensis,,,,,,
Nov-23,Antilophia galeata,381,D,23830,P01_D_02,51,1,Verbenaceae,Lippia/Lantana,Lippia origanoides,,,,Lippia or Lantana,,
Nov-23,Antilophia galeata,381,D,23830,P01_D_03,7,0,,,,,,,,,
Nov-23,Antilophia galeata,381,D,23830,P01_D_04,3,0,,,,,,,,,
Nov-23,Antilophia galeata,381,D,23830,P01_D_05,5,0,,,,,,,,,
Nov-23,Antilophia galeata,381,D,23830,P01_D_06,3,0,,,,,,,,,
Nov-23,Antilophia galeata,381,D,23830,P01_D_07,4,0,,,,,,,,,
Nov-23,Antilophia galeata,381,D,23830,P01_D_08,4,0,,,,,,,,,
Nov-23,Manacus manacus,468,E,23830,P01_E_01,163,1,Melastomataceae,Miconia,Miconia pusilliflora,,,,,,
Nov-23,Manacus manacus,468,E,23830,P01_E_02,2,0,Melastomataceae,Miconia,,,,,,,
Nov-23,Manacus manacus,468,E,23830,P01_E_03,4,0,Melastomataceae,Miconia,,,,,,,
Nov-23,Antilophia galeata,482,H,23830,P01_H_01,22,1,Primulaceae,Stylogyne,Embelia philippinensis,,,,changed ID on 31/july/2024,,
Nov-23,Antilophia galeata,482,H,23830,P01_H_02,20,0,Melastomataceae,Miconia,Miconia pusilliflora,,,,,,
Nov-23,Manacus manacus,064,A,25904,P02_A_01,808,1,Melastomataceae,Miconia ,Miconia pusilliflora,,,,,,
Nov-23,Manacus manacus,064,A,25904,P02_A_02,8,0,,,,,,,,,
Nov-23,Manacus manacus,064,A,25904,P02_A_03,5,0,,,,,,,,,
Nov-23,Eucometis penicillata,052,B,25904,P02_B_01,20227,1,Salicaceae,Casearia,Casearia sylvestris,,,,,,
Nov-23,Eucometis penicillata,052,B,25904,P02_B_02,11,0,,,,,,,,,
Nov-23,Eucometis penicillata,052,B,25904,P02_B_03,6,0,,,,,,,,,
Nov-23,Eucometis penicillata,052,B,25904,P02_B_04,6,0,,,,,,,,,
Nov-23,Eucometis penicillata,052,B,25904,P02_B_05,6,0,,,,,,,,,
Nov-23,Eucometis penicillata,052,B,25904,P02_B_06,10,0,,,,,,,,,
Nov-23,Eucometis penicillata,052,B,25904,P02_B_07,4,0,,,,,,,,,
Nov-23,Eucometis penicillata,052,B,25904,P02_B_08,2,0,,,,,,,,,
Nov-23,Antilophia galeata,410,C,25904,P02_C_01,106,1,Myrtaceae,Myrcia ,Myrciaria floribunda,,floribunda,,in neighboring plot,,
Nov-23,Antilophia galeata,410,C,25904,P02_C_02,5,0,,Syagrus ,,,,,,,
Nov-23,Antilophia galeata,412,D,25904,P02_D_01,242,1,Meliaceae,Trichilia,Dysoxylum carolinae,,pallida,,,,
Nov-23,Antilophia galeata,412,D,25904,P02_D_02,6,0,Meliaceae,Trichilia,,,,,,,
Nov-23,Antilophia galeata,412,D,25904,P02_D_03,2,0,Melastomataceae,Miconia ,,,,,,,
Nov-23,Antilophia galeata,255,E,25904,P02_E_01,201,1,Melastomataceae,Miconia,Miconia pusilliflora,,,,,,
Nov-23,Antilophia galeata,268,H,25904,P02_H_01,18,0,Myrtaceae,Psidium,Psidium cattleyanum,,,,leave at family level,,
Nov-23,Turdus leucomelas,422,A,30995,P04_A_01,395,1,Poaceae,Oryza,Oryza sativa,,sativa,,rice!,,
Nov-23,Turdus leucomelas,422,A,30995,P04_A_02,3,0,Fabaceae,,Phaseolus vulgaris,,,,,,
Nov-23,Turdus leucomelas,422,A,30995,P04_A_03,2,0,,,,,,,,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_01,20305,1,Myrtaceae,Eugenia ,Myrcianthes pungens,,,,,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_02,2449,1,Sapindaceae,Allophylus,Allophylus edulis,,,,,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_03,2525,2,Myrtaceae,,Pilidiostigma rhytispermum,,,,<98% similarity with any organism,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_04,53,2,Rutaceae,,Rutaceae sp.,,,,<98% similarity with any organism,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_05,5,0,,,,,,,,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_06,5,0,,,,,,,,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_07,32,2,Vochysiaceae,,Vochysia guatemalensis,,,,<98% similarity with any organism,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_08,14,0,,,,,,,,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_09,2,0,,,,,,,,,
Nov-23,Turdus leucomelas,201,B,30995,P04_B_10,2,0,,,,,,,,,
Nov-23,Turdus leucomelas,073,C,30995,P04_C_01,49,1,Solanaceae,Cestrum,Nicotiana solanifolia,,,,,,
Nov-23,Turdus leucomelas,073,C,30995,P04_C_02,6,0,Salicaceae,Casearia,,,,,,,
Nov-23,Turdus leucomelas,073,C,30995,P04_C_03,2,0,,,,,,,,,
Nov-23,Pitangus sulphuratus,242,D,30995,P04_D_01,376,1,Melastomataceae,Miconia,Miconia pusilliflora,,,,,,
Nov-23,Pitangus sulphuratus,242,D,30995,P04_D_02,3,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,419,E,30995,P04_E_01,93,1,Amaranthaceae,Chamissoa,Chamissoa altissima,,,,Chamissoa or Amaranthus,,
Nov-23,Tachyphonus coronatus,419,E,30995,P04_E_02,31,1,Piperaceae,Piper,Piper amalago,,amalago,,,,
Nov-23,Tachyphonus coronatus,419,E,30995,P04_E_03,18,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,419,E,30995,P04_E_04,9,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,419,E,30995,P04_E_05,8,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,419,E,30995,P04_E_06,7,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,419,E,30995,P04_E_07,2,0,,,,,,,,,
Nov-23,Tachyphonus coronatus,419,E,30995,P04_E_08,2,0,,,,,,,,,
Nov-23,Turdus amaurochalinus,181,H,30995,P04_H_01,56,1,Melastomataceae,Miconia,Miconia pusilliflora,,,,,,
Jun-23,Ramphocelus carbo,269,B,44492,P00_B_01,42742,1,Melastomataceae,Miconia ,Miconia,,,,,,
Jun-23,Turdus leucomelas,027,A,44492,P00_A_01,896,1,Moraceae,Morus,Morus sp.,,,,,,
Jun-23,Ramphocelus carbo,269,B,44492,P00_B_03,823,1,Melastomataceae,Miconia,Henriettea glabra,,,,"acabei classificando como Miconia pq não tem Henreittea na region, confirma que não é Leandra",,
Nov-23,Thlypopsis sordida,473,A,43495,P03_A_01,177,1,Malvaceae,Luehea,Luehea grandiflora,,,,,,
Nov-23,Thlypopsis sordida,473,A,43495,P03_A_02,70,1,Sapindaceae,Serjania/Paullinia,Serjania brachycarpa ,,,,Serjania or Paullinia,,
Nov-23,Thlypopsis sordida,473,A,43495,P03_A_03,58,1,Fabaceae,Leucaena,Leucaena leucocephala,,leucocephala,,,,
Nov-23,Thlypopsis sordida,473,A,43495,P03_A_04,15,0,Euphorbiaceae,,Croton floribundus,,,,,,
Nov-23,Thlypopsis sordida,473,A,43495,P03_A_05,7,0,,,,,,,,,
Nov-23,Thlypopsis sordida,473,A,43495,P03_A_06,9,0,,,,,,,,,
Nov-23,Thlypopsis sordida,473,A,43495,P03_A_07,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_01,19259,1,Asteraceae,Tilesia,Wollastonia biflora,,baccata ,,"Tilesia or Wollastonia, either way, introduced",https://reflora.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=1&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C11%2C10%5D&lingua=&grupo=5&genero=Tilesia&especie=baccata&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica,https://www.sciencedirect.com/science/article/pii/S0367253013000649?casa_token=_vjOi0yFM_EAAAAA:oSUgyNjHG-HnGCCOVns1fIQ6iOrnMQ7TdrMTOKUdOHCmVEPtlUlpIL8ke42n6pMS-v9qxPqhA9xP
Nov-23,Manacus manacus,286,B,43495,P03_B_02,4900,1,Heliotropiaceae,Myriopus,Myriopus salzmannii,,,,Tournefortia volubilis? https://www.colecionandofrutas.com.br/tournefortiarubicunda.htm Myriopus cf. rubicundus,,
Nov-23,Manacus manacus,286,B,43495,P03_B_03,2586,1,Sapindaceae,Serjania/Paullinia,Serjania brachycarpa,,,,Serjania or Paullinia,,
Nov-23,Manacus manacus,286,B,43495,P03_B_04,480,2,Asteraceae,,Wollastonia biflora,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_05,486,2,Asteraceae,,Melanthera subcordata,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_06,235,2,Asteraceae,,Melanthera subcordata,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_07,313,2,Asteraceae,,Melanthera subcordata,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_08,82,2,Asteraceae,,Melanthera subcordata,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_09,324,2,Sapindaceae,,Rhysotoechia florulenta,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_10,112,2,Boraginaceae,,Myriopus salzmannii,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_11,153,2,Asteraceae,,Sigesbeckia orientalis,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_12,49,2,Asteraceae,,Guardiola tulocarpus,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_13,43,2,Sapindaceae,,Pappea capensis,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_14,35,2,Boraginaceae,,Myriopus salzmannii,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_15,38,2,Asteraceae,,Sigesbeckia orientalis,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_16,45,2,Asteraceae,,Wollastonia biflora,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_17,47,2,Asteraceae,,Melanthera subcordata,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_18,18,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_19,31,2,Sapindaceae,,Serjania brachycarpa,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_20,56,2,Asteraceae,,Wollastonia biflora,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_21,13,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_22,17,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_23,13,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_24,11,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_25,19,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_26,9,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_27,56,2,Boraginaceae,,Bourreria virgata,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_28,22,2,Asteraceae,,Melanthera subcordata,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_29,6,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_30,5,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_31,13,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_32,4,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_33,38,2,Asteraceae,,Sphagneticola trilobata ,,,,<98% match with any organism,,
Nov-23,Manacus manacus,286,B,43495,P03_B_34,8,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_35,8,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_36,12,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_37,12,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_38,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_39,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_40,6,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_41,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_42,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_43,10,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_44,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_45,4,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_46,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_47,4,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_48,8,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_49,10,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_50,6,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_51,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_52,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_53,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_54,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_55,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_56,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_57,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_58,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_59,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_60,2,0,,,,,,,,,
Nov-23,Manacus manacus,286,B,43495,P03_B_61,2,0,,,,,,,,,
Nov-23,Tangara cayana,179,C,43495,P03_C_01,135,1,Melastomataceae,Miconia,Miconia pusilliflora,,,,,,
Nov-23,Tangara cayana,179,C,43495,P03_C_02,2,0,,,,,,,,,
Nov-23,Tangara cayana,179,C,43495,P03_C_03,2,0,,,,,,,,,
Nov-23,Eucometis penicillata,084,D,43495,P03_D_01,216,1,Salicaceae,Casearia,Casearia sylvestris,,,,,,
Nov-23,Antilophia galeata,195,E,43495,P03_E_01,74,1,Rosaceae,Rubus,Rubus amabilis,,,,check seeds ,https://rubus.scuticaria.com/#,
Nov-23,Antilophia galeata,195,E,43495,P03_E_02,2,0,,,,,,,,,
Nov-23,Antilophia galeata,360,H,43495,P03_H_01,4,0,Myrtaceae,Myrcia ,Myrcianthes pungens,,,,,,
Jul-24,Manacus manacus,437,A,1107,P07_A_01,18,0,Meliaceae,Trichilia ,Aphanamixis polystachya,Trichilia poeppigii,,,,,
Jul-24,Manacus manacus,437,A,1107,P07_A_02,25,1,Fabaceae ,Centrolobium,Centrolobium tomentosum,Pterocarpus soyauxii,tomentosum,,Pterocarpus also,,
Jul-24,Tachyphonus coronatus,272,B,1107,P07_B_01,449,1,Piperaceae,Piper,Piper amalago,Piper amalago,amalago,,same as seeds found!,,
Jul-24,Tachyphonus coronatus,272,B,1107,P07_B_02,45,1,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris,,,,,
Jul-24,Tachyphonus coronatus,272,B,1107,P07_B_03,11,0,Moraceae,Morus,Milicia regia,Streblus pendulinus,,,"detected as contamination in tag B, < 427 reads, excluded sampled ",,
Jul-24,Tachyphonus coronatus,272,B,1107,P07_B_04,13,0,Malvaceae,Guazuma,Guazuma ulmifolia,Guazuma ulmifolia,,,contamination?,,
Jul-24,Tachyphonus coronatus,272,B,1107,P07_B_05,15,0,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,,"detected as contamination in tag B, < 97 reads",,
Jul-24,Tachyphonus coronatus,272,B,1107,P07_B_06,2,0,Meliaceae,Guarea,Guarea guidonia,Guarea guidonia,,,contamination?,,
Jul-24,Tachyphonus coronatus,272,B,1107,P07_B_07,2,0,Myrtaceae,Psidium,Psidium guajava,Psidium acutangulum,,,contamination?,,
Jul-24,Thlypopsis sordida,252,C,1107,NA,NA,3,,,,,,,not successfully sequenced,,
Jul-24,Eucometis penicillata,400,D,1107,NA,NA,3,,,,,,,,,
Jul-24,Tachyphonus coronatus,420,E,1107,P07_E_01,4,0,Piperaceae,Piper,Piper amalago,Piper sp.,,1,same as seeds found!,,
Jul-24,Ramphocelus carbo,109,H,1107,NA,NA,3,,,,,,,,,
Jul-24,Lathrotriccus euleri,365,A,291,NA,NA,3,,,,,,,,,
Jul-24,Myiarchus ferox,241,B,291,P08_B_01,88,1,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,1,"same as seeds found! but detected as contamination? and < 97 reads, excluded sample",,
Jul-24,Myiarchus ferox,241,B,291,P08_B_02,26,4,Moraceae,Morus,Milicia regia,Streblus pendulinus,,,"detected as contamination in tag B, < 427 reads",,
Jul-24,Myiarchus ferox,241,B,291,P08_B_03,7,0,Myrtaceae,Psidium,Psidium cattleyanum,Eugenia oerstedeana,,,contamination?,,
Jul-24,Myiarchus ferox,241,B,291,P08_B_04,9,0,Malvaceae,Guazuma,Guazuma ulmifolia,Guazuma ulmifolia,,,contamination?,,
Jul-24,Myiarchus ferox,241,B,291,P08_B_05,2,0,Malpighiaceae,Banisteriopsis,Banisteriopsis caapi,Banisteriopsis muricata,,,"detected as contamination in tag B, < 7 reads",,
Jul-24,Myiarchus ferox,241,B,291,P08_B_06,2,0,Meliaceae,Guarea,Guarea guidonia,Guarea guidonia,,,contamination?,,
Jul-24,Antilophia galeata,385,C,291,NA,NA,3,,,,,,,,,
Jul-24,Leptopogon amaurocephalus,075,D,291,NA,NA,3,,,,,,,,,
Jul-24,Myiodynastes maculatus,104,E,291,NA,NA,3,,,,,,,,,
Jul-24,Pitangus sulphuratus,238,H,291,NA,NA,3,,,,,,,,,
Jul-24,Eucometis penicillata,040,A,25923,P09_A_01,136,1,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris,,1,same as seeds found!,,
Jul-24,Antilophia galeata,384,B,25923,P09_B_01,19882,1,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,,>97 reads,,
Jul-24,Antilophia galeata,384,B,25923,P09_B_02,31,1,Euphorbiaceae,Alchornea,Alchornea glandulosa,Alchornea costaricensis,,,,,
Jul-24,Antilophia galeata,384,B,25923,P09_B_03,2,0,,,,,,,,,
Jul-24,Antilophia galeata,384,B,25923,P09_B_04,4,0,,,,,,,,,
Jul-24,Antilophia galeata,384,B,25923,P09_B_05,2,0,,,,,,,,,
Jul-24,Antilophia galeata,087,C,25923,P09_C_01,114,1,Myrtaceae,Myrcia,Calyptranthes concinna,Calyptranthes chiapensis,,,"esse genero não existe mais, é tudo Myrcia agora",,
Jul-24,Antilophia galeata,087,C,25923,P09_C_02,9,0,,,,,,,,,
Jul-24,Manacus manacus,287,D,25923,P09_D_01,50,1,Cannabaceae,Trema,Trema lamarckianum,Muntingia calabura,,,Muntingiaceae on BOLD,,
Jul-24,Manacus manacus,287,D,25923,P09_D_02,20,0,Melastomataceae,Miconia,Miconia melastomoides,Clidemia urceolata,,,,,
Jul-24,Manacus manacus,287,D,25923,P09_D_03,6,0,,,,,,,,,
Jul-24,Antilophia galeata,290,E,25923,P09_E_01,146,1,Myrtaceae,Psidium,Psidium cattleyanum,Eugenia/Psidium,,,,,
Jul-24,Antilophia galeata,290,E,25923,P09_E_02,2,0,,,,,,,,,
Jul-24,Antilophia galeata,290,E,25923,P09_E_03,2,0,,,,,,,,,
Jul-24,Antilophia galeata,290,E,25923,P09_E_04,2,0,,,,,,,,,
Jul-24,Nemosia pileata,050,H,25923,P09_H_01,23,1,Salicaceae,Casearia,Casearia sylvestris,Casearia sylvestris,,,,,
Jul-24,Myiarchus ferox,246,A,14221,P10_A_01,1271,1,Melastomataceae,Miconia,Miconia pusilliflora,Clidemia urceolata,,,,,
Jul-24,Myiarchus ferox,246,A,14221,P10_A_02,25,1,Malpighiaceae,Banisteriopsis,Banisteriopsis caapi,Banisteriopsis muricata,,,"not contamination bc with tag A, not B, and > 7 reads",,
Jul-24,Myiarchus ferox,246,A,14221,P10_A_03,9,0,Solanaceae,Solanum,Capsicum annuum,Datura stramonium,,,,,
Jul-24,Myiarchus ferox,246,A,14221,P10_A_04,7,0,Myrtaceae,Syzygium,Syzygium tympananthum,Eugenia erythrophylla,,,,,
Jul-24,Myiarchus ferox,136,B,14221,P10_B_01,4048,1,Fabaceae,Albizia,Schleichera oleosa,Albizia coriaria,,,Fabaceae according to BOLD,,
Jul-24,Myiarchus ferox,136,B,14221,P10_B_02,5,0,Salicaceae,Casearia ,,,,,,,
